Date;Open Price;High Price;Low Price;Close Price;WAP;No.of Shares;No. of Trades;Total Turnover (Rs.);Deliverable Quantity;% Deli. Qty to Traded Qty;Spread High-Low;Spread Close-Open
20-Feb-17;185.00;186.50;180.80;182.95;183.262.857.142.857.000.000;2100;93;384852.00;1020;48.57;5.70;-2.05
17-Feb-17;185.70;186.00;184.00;184.65;184.919.282.511.210.000.000;223;15;41237.00;143;64.13;2.00;-1.05
16-Feb-17;184.50;190.10;184.25;186.15;186.824.096.779.467.000.000;6117;313;1142803.00;4183;68.38;5.85;1.65
15-Feb-17;182.00;185.50;180.05;185.10;184.305.967.450.271.000.000;2765;93;509606.00;1628;58.88;5.45;3.10
14-Feb-17;182.05;185.40;182.00;185.10;184.235.294.117.647.000.000;2261;79;416556.00;1634;72.27;3.40;3.05
13-Feb-17;183.65;185.00;182.00;183.40;182.925.334.484.246.000.000;2317;79;423838.00;1531;66.08;3.00;-0.25
10-Feb-17;184.00;186.00;177.00;184.35;183.196.721.311.475.000.000;2379;105;435825.00;1253;52.67;9.00;0.35
09-Feb-17;183.50;183.50;178.70;181.40;180.332.763.857.251.000.000;5268;138;949993.00;3594;68.22;4.80;-2.10
08-Feb-17;188.20;188.20;182.05;182.45;185.428.949.691.085.000.000;2266;116;420182.00;1383;61.03;6.15;-5.75
07-Feb-17;188.90;191.00;186.95;188.45;188.382.101.276.476.000.000;7129;146;1342976.00;4818;67.58;4.05;-0.45
06-Feb-17;185.00;185.00;181.50;181.50;183.800.781.250.000.000.000;512;12;94106.00;491;95.90;3.50;-3.50
03-Feb-17;185.25;188.10;182.00;185.80;186.022.373.540.856.000.000;4112;232;764924.00;1441;35.04;6.10;0.55
02-Feb-17;181.00;184.65;177.50;182.00;182.065.628.476.084.000.000;899;41;163677.00;449;49.94;7.15;1.00
01-Feb-17;175.05;184.25;175.00;182.25;177.792.096.219.931.000.000;1746;104;310425.00;1252;71.71;9.25;7.20
31-Jan-17;175.85;178.00;175.50;178.00;176.115.823.817.292.000.000;613;39;107959.00;390;63.62;2.50;2.15
30-Jan-17;180.50;181.20;175.10;177.25;178.889.816.360.601.000.000;599;40;107155.00;455;75.96;6.10;-3.25
27-Jan-17;182.00;182.00;179.25;179.30;180.283.411.336.453.000.000;1923;92;346685.00;1097;57.05;2.75;-2.70
25-Jan-17;183.00;185.00;183.00;183.05;183.831.111.111.111.000.000;450;24;82724.00;300;66.67;2.00;0.05
24-Jan-17;181.90;185.75;180.50;183.00;183.236.889.692.585.000.000;1106;36;202660.00;880;79.57;5.25;1.10
23-Jan-17;185.40;187.00;180.00;181.05;182.534.974.093.264.000.000;3860;170;704585.00;2129;55.16;7.00;-4.35
20-Jan-17;187.50;187.50;183.10;184.15;185.009.267.840.593.000.000;2158;52;399250.00;1187;55.00;4.40;-3.35
19-Jan-17;185.20;194.00;185.00;187.30;190.750.871.524.530.000.000;11761;335;2243421.00;3837;32.62;9.00;2.10
