Date;Open Price;High Price;Low Price;Close Price;WAP;No.of Shares;No. of Trades;Total Turnover (Rs.);Deliverable Quantity;% Deli. Qty to Traded Qty;Spread High-Low;Spread Close-Open
09-Jan-17;80.95;94.40;79.60;91.00;91.997.262.743.889.000.000;856332;9533;78780200.00;290256;33.90;14.80;10.05
06-Jan-17;75.00;79.40;74.95;78.70;77.815.523.765.574.500.000;54175;2111;4215656.00;34016;62.79;4.45;3.70
05-Jan-17;73.35;75.40;73.35;74.35;74.229.280.321.816.200.000;72588;865;5388155.00;42815;58.98;2.05;1.00
04-Jan-17;73.50;73.50;73.15;73.40;73.390.909.090.909.000.000;3740;28;274482.00;3015;80.61;0.35;-0.10
03-Jan-17;73.50;74.00;73.00;73.25;73.545.882.352.941.100.000;2550;31;187542.00;2300;90.20;1.00;-0.25
02-Jan-17;73.05;73.25;72.55;72.95;73.083.019.755.409.200.000;4252;21;310749.00;4215;99.13;0.70;-0.10
30-Dec-16;73.35;73.50;72.70;72.95;72.973.870.847.331.000.000;2679;28;195497.00;2297;85.74;0.80;-0.40
29-Dec-16;72.70;74.80;72.25;72.40;73.289.562.289.562.200.000;1782;39;130602.00;1232;69.14;2.55;-0.30
28-Dec-16;71.75;73.15;71.75;72.15;72.461.192.350.956.100.000;1778;51;128836.00;1407;79.13;1.40;0.40
27-Dec-16;71.75;72.95;71.20;72.65;71.905.376.344.086.000.000;1860;37;133744.00;1236;66.45;1.75;0.90
26-Dec-16;72.00;72.90;71.40;71.70;71.894.652.061.855.600.000;3104;30;223161.00;2984;96.13;1.50;-0.30
23-Dec-16;73.00;73.10;72.05;72.55;72.815.772.870.662.400.000;1585;27;115413.00;1240;78.23;1.05;-0.45
22-Dec-16;72.85;74.25;72.00;72.50;72.521.632.937.892.500.000;2866;58;207847.00;1438;50.17;2.25;-0.35
21-Dec-16;73.05;73.80;72.50;73.45;73.083.760.683.760.600.000;2340;43;171016.00;1430;61.11;1.30;0.40
20-Dec-16;72.80;73.25;72.70;72.75;72.776.913.875.598.000.000;3344;38;243366.00;3224;96.41;0.55;-0.05
19-Dec-16;74.00;74.20;72.55;73.30;73.113.990.461.049.200.000;6290;115;459887.00;4175;66.38;1.65;-0.70
16-Dec-16;73.80;74.30;73.00;73.05;73.726.924.712.888.100.000;4702;39;346664.00;4400;93.58;1.30;-0.75
15-Dec-16;74.00;74.00;73.00;73.25;73.243.933.588.761.100.000;1566;27;114700.00;1506;96.17;1.00;-0.75
14-Dec-16;76.20;76.20;73.00;73.30;74.167.869.733.087.100.000;5957;96;441818.00;4302;72.22;3.20;-2.90
13-Dec-16;75.00;75.95;74.70;74.85;75.326.703.210.649.900.000;6385;93;480961.00;4670;73.14;1.25;-0.15
12-Dec-16;73.75;76.90;73.75;75.85;75.403.761.869.978.000.000;10952;167;825822.00;6255;57.11;3.15;2.10
09-Dec-16;73.95;73.95;73.05;73.50;73.551.498.127.340.800.000;2136;21;157106.00;1825;85.44;0.90;-0.45
08-Dec-16;73.65;73.65;72.80;73.35;73.312.831.858.407.000.000;2260;32;165687.00;1960;86.73;0.85;-0.30
07-Dec-16;72.80;73.60;72.55;72.85;72.910.340.314.136.100.000;3056;34;222814.00;1901;62.21;1.05;0.05
06-Dec-16;73.20;73.90;72.40;72.80;72.981.877.429.682.100.000;17492;127;1276599.00;16110;92.10;1.50;-0.40
05-Dec-16;74.00;74.35;72.50;72.90;73.274.305.102.440.200.000;7663;114;561501.00;4714;61.52;1.85;-1.10
02-Dec-16;75.10;75.10;73.55;73.90;74.340.180.360.721.400.000;1996;33;148383.00;1780;89.18;1.55;-1.20
01-Dec-16;76.10;77.00;75.00;76.65;75.822.051.639.916.200.000;8598;124;651918.00;3795;44.14;2.00;0.55
30-Nov-16;76.80;76.95;75.80;75.90;76.122.697.126.013.200.000;2714;47;206597.00;2350;86.59;1.15;-0.90
29-Nov-16;74.00;77.85;74.00;76.65;76.137.495.615.573.400.000;2851;52;217068.00;2266;79.48;3.85;2.65
28-Nov-16;73.00;75.00;73.00;74.25;74.623.868.312.757.200.000;1215;32;90668.00;575;47.33;2.00;1.25
25-Nov-16;73.70;75.00;73.55;74.20;74.122.637.871.191.600.000;2593;34;192200.00;2261;87.20;1.45;0.50
24-Nov-16;73.60;75.00;73.15;73.35;73.683.509.833.585.400.000;6610;65;487048.00;4201;63.56;1.85;-0.25
23-Nov-16;73.40;74.50;72.90;73.05;73.139.731.285.988.400.000;7815;110;571587.00;6031;77.17;1.60;-0.35
22-Nov-16;73.25;74.80;72.70;73.70;73.419.035.029.742.200.000;3026;52;222166.00;2259;74.65;2.10;0.45
21-Nov-16;74.60;75.10;72.55;73.20;73.856.510.950.480.000.000;9269;95;684576.00;7346;79.25;2.55;-1.40
18-Nov-16;75.00;76.00;74.25;74.75;75.202.731.240.320.900.000;7103;63;534165.00;5732;80.70;1.75;-0.25
17-Nov-16;75.95;76.80;74.25;74.95;75.863.104.647.486.500.000;6326;80;479910.00;4238;66.99;2.55;-1.00
16-Nov-16;77.00;77.00;74.30;75.15;75.478.561.549.100.900.000;5784;92;436568.00;3603;62.29;2.70;-1.85
15-Nov-16;75.00;75.70;72.50;74.35;74.315.264.578.200.100.000;8523;113;633389.00;4714;55.31;3.20;-0.65
11-Nov-16;77.45;77.50;74.90;74.90;75.634.632.034.632.000.000;1155;29;87358.00;806;69.78;2.60;-2.55
10-Nov-16;77.40;78.00;76.55;77.05;77.514.533.622.559.600.000;2305;32;178671.00;1881;81.61;1.45;-0.35
09-Nov-16;72.25;75.80;70.65;75.40;73.287.958.765.447.400.000;16103;129;1180156.00;7515;46.67;5.15;3.15
08-Nov-16;78.35;78.35;76.25;76.95;76.819.951.338.199.500.000;4521;69;347303.00;2638;58.35;2.10;-1.40
07-Nov-16;79.20;79.20;77.40;77.55;77.938.589.540.412.000.000;2524;34;196717.00;2097;83.08;1.80;-1.65
04-Nov-16;79.25;79.25;75.00;76.05;76.579.017.923.638.300.000;20141;153;1542378.00;13863;68.83;4.25;-3.20
03-Nov-16;81.00;81.85;78.55;78.95;79.717.142.443.124.100.000;6901;96;550128.00;5621;81.45;3.30;-2.05
02-Nov-16;83.00;83.00;80.40;81.10;81.538.033.086.707.100.000;12029;143;980821.00;6668;55.43;2.60;-1.90
01-Nov-16;77.05;84.00;77.05;83.15;81.897.499.911.469.900.000;56478;537;4625407.00;20179;35.73;6.95;6.10
30-Oct-16;79.75;81.00;78.60;78.95;79.065.890.447.208.200.000;3779;56;298790.00;2348;62.13;2.40;-0.80
28-Oct-16;78.20;79.10;78.10;78.15;78.744.357.638.888.800.000;2304;39;181427.00;1745;75.74;1.00;-0.05
27-Oct-16;79.60;79.80;78.10;78.65;78.810.382.754.069.500.000;4546;69;358272.00;3401;74.81;1.70;-0.95
26-Oct-16;78.00;79.40;77.30;78.00;78.206.985.335.273.700.000;8933;101;698623.00;5445;60.95;2.10;0.00
25-Oct-16;79.00;79.30;78.00;78.55;78.557.535.263.548.600.000;2694;44;211634.00;2129;79.03;1.30;-0.45
24-Oct-16;78.60;82.00;78.55;79.75;80.693.153.826.552.200.000;23546;410;1900001.00;8949;38.01;3.45;1.15
21-Oct-16;76.00;79.80;76.00;78.85;78.978.324.380.360.000.000;10611;129;838039.00;6734;63.46;3.80;2.85
20-Oct-16;77.00;80.55;77.00;78.60;79.217.244.785.311.700.000;34422;253;2726816.00;19631;57.03;3.55;1.60
19-Oct-16;76.20;77.45;76.20;76.55;76.744.565.951.127.300.000;7407;88;568447.00;6428;86.78;1.25;0.35
18-Oct-16;76.35;78.40;76.00;76.00;76.807.711.381.105.800.000;8066;110;619531.00;5477;67.90;2.40;-0.35
17-Oct-16;77.25;77.25;75.30;75.55;76.350.415.012.630.800.000;5542;58;423134.00;3783;68.26;1.95;-1.70
14-Oct-16;77.80;78.00;75.10;75.70;76.245.250.727.366.000.000;5843;62;445501.00;4345;74.36;2.90;-2.10
13-Oct-16;76.10;78.70;73.50;76.70;75.554.828.740.664.400.000;19415;185;1466897.00;10296;53.03;5.20;0.60
10-Oct-16;76.00;80.00;76.00;77.20;77.683.968.926.553.600.000;5664;68;440002.00;4042;71.36;4.00;1.20
07-Oct-16;76.80;77.90;76.65;76.65;77.303.113.052.976.500.000;3662;53;283084.00;2375;64.86;1.25;-0.15
06-Oct-16;76.95;79.00;75.40;76.85;77.497.630.331.753.500.000;14559;260;1128288.00;7015;48.18;3.60;-0.10
05-Oct-16;75.80;79.55;75.80;76.70;77.742.097.845.782.100.000;9934;177;772290.00;5049;50.83;3.75;0.90
04-Oct-16;75.00;77.00;73.05;74.80;75.179.971.988.795.500.000;9996;106;751499.00;2873;28.74;3.95;-0.20
03-Oct-16;74.80;75.70;73.55;75.00;74.513.666.139.597.900.000;4427;61;329872.00;3751;84.73;2.15;0.20
30-Sep-16;70.10;74.25;70.10;73.00;73.144.162.279.343.400.000;6458;85;472365.00;5167;80.01;4.15;2.90
29-Sep-16;77.25;77.25;71.05;72.90;73.844.333.865.364.700.000;10651;126;786516.00;8376;78.64;6.20;-4.35
28-Sep-16;77.15;78.00;75.55;76.30;76.648.959.608.323.100.000;8170;112;626222.00;4382;53.64;2.45;-0.85
27-Sep-16;75.75;77.35;75.20;75.30;75.882.833.787.465.900.000;1835;35;139245.00;1311;71.44;2.15;-0.45
26-Sep-16;77.20;77.35;75.45;76.70;76.180.781.044.317.600.000;2279;35;173616.00;1589;69.72;1.90;-0.50
23-Sep-16;77.15;77.25;76.30;76.85;76.905.363.244.688.700.000;6731;67;517650.00;4353;64.67;0.95;-0.30
22-Sep-16;79.10;79.60;77.00;77.65;77.867.174.422.497.400.000;11948;122;930357.00;7968;66.69;2.60;-1.45
21-Sep-16;79.00;80.45;78.25;78.60;79.431.333.045.522.100.000;20847;358;1655905.00;12774;61.28;2.20;-0.40
20-Sep-16;76.90;78.30;75.35;76.65;77.455.632.582.322.300.000;17310;174;1340757.00;12494;72.18;2.95;-0.25
19-Sep-16;76.30;76.30;74.10;74.45;74.880.497.807.947.900.000;7071;89;529480.00;4391;62.10;2.20;-1.85
16-Sep-16;74.70;79.00;73.75;74.35;75.999.102.434.646.000.000;17826;326;1354760.00;7715;43.28;5.25;-0.35
15-Sep-16;74.30;74.30;73.95;74.00;74.045.252.225.519.200.000;2696;38;199626.00;2646;98.15;0.35;-0.30
14-Sep-16;72.65;75.00;72.65;73.25;73.465.498.825.037.300.000;4681;46;343892.00;4170;89.08;2.35;0.60
12-Sep-16;72.50;74.80;72.50;74.00;74.148.543.290.931.400.000;2437;34;180700.00;1847;75.79;2.30;1.50
09-Sep-16;75.55;75.55;73.80;74.10;74.376.670.201.484.600.000;4715;47;350686.00;4315;91.52;1.75;-1.45
08-Sep-16;75.80;75.80;74.25;74.95;74.846.420.015.970.100.000;3757;57;281198.00;2799;74.50;1.55;-0.85
07-Sep-16;74.75;75.70;74.25;74.90;74.718.935.361.216.700.000;6575;93;491277.00;4600;69.96;1.45;0.15
06-Sep-16;75.30;75.30;74.15;74.45;74.567.511.425.010.300.000;2407;29;179484.00;1810;75.20;1.15;-0.85
02-Sep-16;74.70;75.00;74.25;74.95;74.851.660.516.605.100.000;1355;17;101424.00;1255;92.62;0.75;0.25
01-Sep-16;74.65;75.00;74.10;74.20;74.485.742.379.547.600.000;3051;40;227256.00;1951;63.95;0.90;-0.45
31-Aug-16;75.65;75.75;74.65;74.70;75.344.189.991.518.200.000;5895;47;444154.00;4675;79.30;1.10;-0.95
30-Aug-16;75.10;75.90;74.50;74.65;75.079.858.272.008.700.000;3669;56;275468.00;2583;70.40;1.40;-0.45
29-Aug-16;74.60;75.00;74.15;74.70;74.777.371.149.740.700.000;3279;54;245195.00;2764;84.29;0.85;0.10
26-Aug-16;75.90;75.90;74.40;74.65;74.650.717.703.349.200.000;627;12;46806.00;504;80.38;1.50;-1.25
25-Aug-16;75.80;75.90;74.50;74.50;75.414.550.264.550.200.000;3780;52;285067.00;2592;68.57;1.40;-1.30
24-Aug-16;74.00;75.40;73.60;75.10;74.482.862.297.053.500.000;3326;44;247730.00;2875;86.44;1.80;1.10
23-Aug-16;73.60;75.40;73.30;73.75;74.018.400.000.000.000.000;1250;32;92523.00;766;61.28;2.10;0.15
22-Aug-16;73.50;75.50;73.10;74.05;74.193.773.930.414.500.000;6007;76;445682.00;4090;68.09;2.40;0.55
19-Aug-16;73.30;75.00;73.20;74.25;74.343.283.582.089.500.000;2680;51;199240.00;1535;57.28;1.80;0.95
18-Aug-16;73.70;75.65;73.00;73.25;74.155.368.301.458.000.000;10562;108;783229.00;5104;48.32;2.65;-0.45
17-Aug-16;72.95;73.30;72.50;73.25;72.901.767.151.767.100.000;5772;72;420789.00;3821;66.20;0.80;0.30
16-Aug-16;75.10;75.15;72.00;72.05;72.619.460.311.207.400.000;10154;92;737378.00;7981;78.60;3.15;-3.05
