Date;Open Price;High Price;Low Price;Close Price;WAP;No.of Shares;No. of Trades;Total Turnover (Rs.);Deliverable Quantity;% Deli. Qty to Traded Qty;Spread High-Low;Spread Close-Open
04-Jul-16;77.65;78.20;76.90;77.30;77.495.704.146.432.500.000;8031;91;622368.00;5135;63.94;1.30;-0.35
01-Jul-16;77.00;78.10;76.00;76.55;77.527.032.359.905.200.000;15204;171;1178721.00;11791;77.55;2.10;-0.45
30-Jun-16;78.45;78.45;76.20;76.80;77.461.148.648.648.600.000;7104;82;550284.00;3644;51.30;2.25;-1.65
29-Jun-16;80.25;80.25;78.00;78.30;78.802.764.132.878.100.000;12011;177;946500.00;6360;52.95;2.25;-1.95
28-Jun-16;75.00;80.85;75.00;79.55;78.983.293.924.128.700.000;77816;655;6146164.00;18113;23.28;5.85;4.55
27-Jun-16;74.90;75.00;73.75;74.15;74.437.511.503.773.200.000;5433;110;404419.00;2578;47.45;1.25;-0.75
24-Jun-16;72.50;75.60;72.00;74.95;74.202.521.640.948.400.000;26570;275;1971561.00;17700;66.62;3.60;2.45
23-Jun-16;74.20;75.20;74.00;74.35;74.433.794.466.403.100.000;3036;51;225981.00;1944;64.03;1.20;0.15
22-Jun-16;77.50;77.50;74.35;74.60;75.027.405.163.709.700.000;6933;128;520165.00;4595;66.28;3.15;-2.90
21-Jun-16;76.70;77.10;74.00;75.05;75.074.031.505.645.300.000;14791;161;1110420.00;11723;79.26;3.10;-1.65
20-Jun-16;77.75;79.00;76.50;76.70;77.339.777.670.372.100.000;10345;100;800080.00;8391;81.11;2.50;-1.05
17-Jun-16;79.60;81.00;78.20;79.40;79.613.089.112.986.200.000;29154;255;2321040.00;14317;49.11;2.80;-0.20
16-Jun-16;80.80;80.80;76.80;78.40;78.131.940.748.625.100.000;22548;290;1761719.00;12952;57.44;4.00;-2.40
15-Jun-16;73.95;83.00;73.15;80.30;79.799.773.997.495.600.000;98229;861;7838652.00;27761;28.26;9.85;6.35
14-Jun-16;74.05;74.05;73.00;73.00;73.143.668.370.244.100.000;1761;27;128806.00;1654;93.92;1.05;-1.05
13-Jun-16;73.65;73.90;73.15;73.30;73.454.592.811.251.900.000;5759;67;423025.00;4475;77.70;0.75;-0.35
10-Jun-16;74.45;74.75;73.70;73.90;74.186.939.820.742.600.000;781;17;57940.00;641;82.07;1.05;-0.55
09-Jun-16;73.50;75.50;73.00;73.10;73.805.489.858.811.700.000;13953;939;1029808.00;3455;24.76;2.50;-0.40
08-Jun-16;73.10;74.20;71.80;73.80;73.565.487.048.522.400.000;5482;72;403286.00;3770;68.77;2.40;0.70
07-Jun-16;72.70;73.75;72.60;73.50;73.475.742.215.785.600.000;1381;18;101470.00;852;61.69;1.15;0.80
06-Jun-16;74.00;74.00;72.00;73.50;73.059.618.441.971.300.000;6290;88;459545.00;4541;72.19;2.00;-0.50
03-Jun-16;74.00;74.55;73.00;73.10;73.352.768.456.375.800.000;2384;29;174873.00;2279;95.60;1.55;-0.90
02-Jun-16;74.75;75.65;73.10;73.95;74.075.329.039.484.700.000;3571;38;264523.00;1406;39.37;2.55;-0.80
01-Jun-16;74.50;74.75;73.10;73.15;74.012.050.932.241.900.000;4398;83;325505.00;2903;66.01;1.65;-1.35
31-May-16;74.10;74.10;73.55;73.55;73.898.887.765.419.600.000;989;20;73086.00;939;94.94;0.55;-0.55
30-May-16;74.60;74.60;74.00;74.30;74.073.274.199.768.600.000;2593;20;192072.00;2524;97.34;0.60;-0.30
27-May-16;74.20;75.50;73.95;74.65;74.579.374.746.244.400.000;2463;34;183689.00;2354;95.57;1.55;0.45
26-May-16;77.55;77.55;74.00;74.20;74.657.394.843.962.000.000;1474;32;110045.00;1197;81.21;3.55;-3.35
25-May-16;76.30;76.30;74.30;74.50;75.224.878.444.084.200.000;2468;50;185655.00;848;34.36;2.00;-1.80
24-May-16;74.00;77.00;74.00;75.30;75.903.181.316.660.500.000;10876;178;825523.00;7069;65.00;3.00;1.30
23-May-16;73.90;75.00;73.00;73.25;73.271.246.593.051.800.000;121443;91;8898280.00;119014;98.00;2.00;-0.65
20-May-16;73.20;73.20;71.90;72.70;72.405.715.208.266.000.000;6194;74;448481.00;3273;52.84;1.30;-0.50
19-May-16;74.00;74.85;72.30;73.40;73.549.480.519.480.500.000;7700;55;566331.00;6849;88.95;2.55;-0.60
18-May-16;74.10;74.45;73.30;73.75;73.667.626.630.526.800.000;5903;69;434860.00;4635;78.52;1.15;-0.35
17-May-16;75.70;75.75;74.25;74.70;74.737.577.365.163.500.000;5655;76;422641.00;3919;69.30;1.50;-1.00
16-May-16;75.55;75.85;74.85;75.05;75.255.131.964.809.300.000;3410;58;256620.00;2089;61.26;1.00;-0.50
13-May-16;79.80;79.80;76.10;76.55;76.901.112.995.986.500.000;24169;420;1858623.00;10352;42.83;3.70;-3.25
12-May-16;77.60;79.70;76.65;78.70;78.124.528.047.464.900.000;14832;249;1158743.00;6010;40.52;3.05;1.10
11-May-16;77.00;77.50;76.30;77.05;76.712.318.286.151.400.000;1307;25;100263.00;1225;93.73;1.20;0.05
10-May-16;76.30;77.25;76.30;77.20;76.859.943.977.591.000.000;714;20;54878.00;300;42.02;0.95;0.90
09-May-16;77.00;77.50;76.10;76.60;76.625.627.540.043.000.000;4183;65;320525.00;2581;61.70;1.40;-0.40
06-May-16;76.35;77.80;76.20;77.50;76.704.227.875.313.500.000;5582;81;428163.00;3283;58.81;1.60;1.15
05-May-16;77.05;77.95;77.00;77.35;77.539.556.299.706.900.000;2389;36;185242.00;1488;62.29;0.95;0.30
04-May-16;76.50;79.30;74.50;77.90;76.891.244.908.208.200.000;17921;300;1377968.00;7676;42.83;4.80;1.40
03-May-16;78.85;78.90;76.40;76.45;77.261.363.636.363.600.000;6688;77;516724.00;5554;83.04;2.50;-2.40
02-May-16;78.40;79.00;77.50;77.70;78.277.502.001.601.200.000;6245;72;488843.00;2580;41.31;1.50;-0.70
29-Apr-16;79.45;81.60;79.25;79.65;80.234.773.179.107.100.000;16599;231;1331817.00;9401;56.64;2.35;0.20
28-Apr-16;79.20;79.25;77.50;77.60;78.155.907.429.963.400.000;2463;52;192498.00;1385;56.23;1.75;-1.60
27-Apr-16;79.45;79.55;78.50;78.55;79.287.329.351.535.800.000;4688;87;371699.00;3831;81.72;1.05;-0.90
26-Apr-16;77.90;81.20;77.90;78.70;79.692.577.991.086.700.000;23336;290;1859706.00;8550;36.64;3.30;0.80
25-Apr-16;77.25;78.90;77.15;77.90;77.843.348.528.802.300.000;2413;53;187836.00;1990;82.47;1.75;0.65
22-Apr-16;78.30;78.70;77.50;77.50;78.275.712.025.316.400.000;5056;44;395762.00;4225;83.56;1.20;-0.80
21-Apr-16;77.10;79.70;77.10;78.25;78.554.746.596.066.500.000;10576;326;830795.00;6706;63.41;2.60;1.15
20-Apr-16;78.90;78.90;76.50;77.30;77.310.091.429.547.900.000;11703;173;904760.00;6701;57.26;2.40;-1.60
18-Apr-16;76.10;81.35;74.10;78.75;78.951.208.049.018.200.000;57448;770;4535589.00;22118;38.50;7.25;2.65
13-Apr-16;74.00;76.50;74.00;74.60;75.204.178.234.946.000.000;21971;370;1652311.00;11141;50.71;2.50;0.60
12-Apr-16;74.30;75.00;73.55;73.95;74.297.239.346.019.800.000;3731;64;277203.00;2256;60.47;1.45;-0.35
11-Apr-16;73.00;74.90;72.70;74.45;74.040.653.261.919.300.000;11389;477;843249.00;6846;60.11;2.20;1.45
08-Apr-16;72.05;74.00;72.05;72.75;72.957.564.876.774.900.000;6127;121;447011.00;4168;68.03;1.95;0.70
07-Apr-16;72.75;73.40;72.15;72.45;72.721.257.625.527.900.000;4262;86;309938.00;2391;56.10;1.25;-0.30
06-Apr-16;70.75;73.25;70.75;72.65;72.157.075.471.698.100.000;8480;107;611892.00;5963;70.32;2.50;1.90
05-Apr-16;71.90;72.70;71.00;71.55;71.729.704.451.926.600.000;10692;122;766934.00;4057;37.94;1.70;-0.35
04-Apr-16;72.60;73.00;72.10;72.75;72.682.253.313.696.600.000;5432;94;394810.00;4530;83.39;0.90;0.15
01-Apr-16;71.15;72.50;71.10;72.20;71.994.852.941.176.400.000;8160;138;587478.00;4787;58.66;1.40;1.05
31-Mar-16;73.05;73.30;71.15;71.40;72.138.357.705.286.800.000;17780;178;1282620.00;11245;63.25;2.15;-1.65
30-Mar-16;72.00;74.50;71.60;73.10;72.838.565.956.029.300.000;24016;361;1749291.00;11301;47.06;2.90;1.10
29-Mar-16;72.45;75.60;70.30;70.85;71.598.835.298.463.000.000;2260665;2870;161860981.00;2064112;91.31;5.30;-1.60
28-Mar-16;75.50;75.50;71.50;72.10;72.961.441.767.181.700.000;106203;615;7748724.00;67989;64.02;4.00;-3.40
23-Mar-16;72.00;79.85;71.05;75.80;71.236.846.992.730.100.000;6014309;2018;428440410.00;5882996;97.82;8.80;3.80
22-Mar-16;72.70;72.70;70.80;71.75;71.418.545.878.693.600.000;10288;75;734754.00;8377;81.42;1.90;-0.95
21-Mar-16;71.70;73.45;71.00;73.05;71.962.608.524.072.600.000;10136;112;729413.00;7582;74.80;2.45;1.35
18-Mar-16;71.25;71.60;70.55;70.85;71.238.678.090.575.200.000;4902;61;349212.00;3431;69.99;1.05;-0.40
17-Mar-16;69.75;71.50;69.75;70.90;70.622.837.370.242.200.000;8959;51;632710.00;7866;87.80;1.75;1.15
16-Mar-16;69.45;70.00;68.80;69.15;69.320.832.585.680.900.000;5573;81;386325.00;3672;65.89;1.20;-0.30
15-Mar-16;69.40;69.95;69.00;69.45;69.437.434.719.030.700.000;4787;51;332397.00;3613;75.48;0.95;0.05
14-Mar-16;70.00;70.25;69.00;69.60;69.536.641.852.770.800.000;6045;99;420349.00;4975;82.30;1.25;-0.40
11-Mar-16;69.60;70.45;69.30;69.80;69.751.670.618.667.800.000;4639;51;323578.00;3449;74.35;1.15;0.20
10-Mar-16;69.00;70.50;69.00;69.90;69.509.958.200.147.500.000;8134;58;565394.00;6785;83.42;1.50;0.90
09-Mar-16;70.90;70.90;68.00;69.25;68.664.556.962.025.300.000;1106;32;75943.00;842;76.13;2.90;-1.65
08-Mar-16;69.95;71.40;68.80;68.95;69.992.912.588.592.600.000;5926;105;414778.00;2797;47.20;2.60;-1.00
04-Mar-16;68.35;69.80;68.25;68.50;68.658.869.395.711.500.000;1026;19;70444.00;911;88.79;1.55;0.15
03-Mar-16;67.70;69.65;67.70;69.20;68.772.245.550.889.800.000;5001;68;343930.00;4708;94.14;1.95;1.50
02-Mar-16;67.95;68.90;67.50;68.20;67.695.744.680.851.000.000;12220;59;827242.00;11707;95.80;1.40;0.25
01-Mar-16;66.00;71.40;66.00;67.65;67.135.269.530.123.900.000;13876;118;931569.00;12156;87.60;5.40;1.65
29-Feb-16;66.25;67.10;66.00;66.05;66.281.699.346.405.200.000;1530;39;101411.00;1086;70.98;1.10;-0.20
26-Feb-16;67.00;67.20;66.00;66.40;66.820.888.238.164.900.000;6147;86;410748.00;5106;83.06;1.20;-0.60
25-Feb-16;65.00;66.10;64.20;65.50;65.313.089.864.587.600.000;4874;49;318336.00;3161;64.85;1.90;0.50
24-Feb-16;66.60;67.00;64.50;65.35;65.113.184.460.079.500.000;3269;66;212855.00;2759;84.40;2.50;-1.25
23-Feb-16;67.60;67.60;65.50;66.15;66.642.893.018.583.600.000;11946;113;796116.00;9463;79.21;2.10;-1.45
22-Feb-16;66.95;68.00;66.10;66.70;67.349.623.146.122.000.000;4113;101;277009.00;2223;54.05;1.90;-0.25
19-Feb-16;64.85;65.95;64.85;65.50;65.345.259.391.771.000.000;1118;22;73056.00;694;62.08;1.10;0.65
18-Feb-16;65.85;66.10;64.60;64.85;65.265.839.320.705.400.000;3062;74;199844.00;2392;78.12;1.50;-1.00
17-Feb-16;65.90;67.10;65.00;65.45;65.924.721.064.659.200.000;37195;83;2452070.00;36007;96.81;2.10;-0.45
16-Feb-16;67.00;67.35;66.05;66.70;66.821.524.422.973.600.000;7452;201;497954.00;4922;66.05;1.30;-0.30
15-Feb-16;66.90;67.85;66.10;67.10;66.205.887.286.145.500.000;23848;75;1578878.00;23151;97.08;1.75;0.20
12-Feb-16;69.00;70.00;64.60;65.15;66.433.379.386.570.800.000;18095;210;1202112.00;14437;79.78;5.40;-3.85
11-Feb-16;71.90;73.00;69.00;69.70;71.019.575.703.648.100.000;21353;907;1516481.00;17008;79.65;4.00;-2.20
10-Feb-16;72.15;73.00;71.10;72.50;72.262.709.860.487.100.000;4229;99;305599.00;3079;72.81;1.90;0.35
09-Feb-16;73.00;73.85;72.75;73.65;73.333.333.333.333.300.000;2130;37;156200.00;1719;80.70;1.10;0.65
08-Feb-16;72.90;73.55;72.05;73.00;72.967.597.765.363.100.000;1790;48;130612.00;1354;75.64;1.50;0.10
05-Feb-16;72.00;73.45;72.00;72.90;72.621.519.939.804.300.000;1329;39;96514.00;800;60.20;1.45;0.90
04-Feb-16;72.15;72.80;72.00;72.10;72.131.147.540.983.600.000;976;18;70400.00;725;74.28;0.80;-0.05
03-Feb-16;73.00;73.00;70.25;72.25;71.414.308.314.290.700.000;5689;122;406276.00;3804;66.87;2.75;-0.75
02-Feb-16;74.10;74.20;73.50;73.60;73.827.160.493.827.100.000;1539;31;113620.00;1337;86.87;0.70;-0.50
01-Feb-16;75.15;76.25;73.50;73.70;74.593.388.840.561.700.000;8047;157;600253.00;4048;50.30;2.75;-1.45
29-Jan-16;74.20;74.95;73.50;73.65;73.783.620.015.637.200.000;5116;43;377477.00;4424;86.47;1.45;-0.55
28-Jan-16;76.40;76.90;74.00;74.50;75.414.305.197.757.200.000;6599;127;497659.00;4190;63.49;2.90;-1.90
27-Jan-16;77.00;78.50;76.50;77.35;77.711.428.319.675.700.000;11349;240;881947.00;3378;29.76;2.00;0.35
25-Jan-16;75.90;76.50;74.25;76.30;76.148.130.081.300.800.000;6150;129;468311.00;4050;65.85;2.25;0.40
22-Jan-16;75.00;75.15;73.60;74.20;74.689.194.713.176.100.000;7339;327;548144.00;5202;70.88;1.55;-0.80
21-Jan-16;76.00;76.00;73.70;74.25;74.569.399.612.653.300.000;3098;51;231016.00;2299;74.21;2.30;-1.75
20-Jan-16;73.35;74.70;73.00;74.10;73.857.183.019.398.300.000;7114;149;525420.00;5819;81.80;1.70;0.75
19-Jan-16;73.15;75.80;72.90;74.55;74.266.909.814.323.600.000;3016;140;223989.00;1962;65.05;2.90;1.40
18-Jan-16;74.60;74.85;72.00;73.45;73.195.035.460.992.900.000;10716;217;784358.00;7304;68.16;2.85;-1.15
15-Jan-16;77.25;77.65;74.00;74.50;75.757.517.482.517.400.000;5720;78;433333.00;3892;68.04;3.65;-2.75
14-Jan-16;76.50;77.20;75.10;76.40;76.394.816.560.080.700.000;5942;111;453938.00;2339;39.36;2.10;-0.10
13-Jan-16;80.60;80.60;76.00;77.40;77.436.402.096.937.300.000;10873;164;841966.00;7313;67.26;4.60;-3.20
12-Jan-16;79.00;82.20;78.60;79.95;79.992.028.343.666.900.000;5645;80;451555.00;2222;39.36;3.60;0.95
11-Jan-16;80.50;81.25;79.75;80.20;80.234.854.507.870.800.000;6289;100;504597.00;4474;71.14;1.50;-0.30
08-Jan-16;82.15;83.10;80.60;80.95;81.350.606.909.430.400.000;6426;112;522759.00;4185;65.13;2.50;-1.20
07-Jan-16;82.30;82.90;81.10;82.30;82.014.098.690.835.800.000;11916;183;977280.00;8711;73.10;1.80;0.00
06-Jan-16;85.50;86.50;84.00;84.50;85.167.684.866.997.500.000;15714;181;1338325.00;9788;62.29;2.50;-1.00
05-Jan-16;86.35;87.00;85.75;86.25;86.360.251.655.007.200.000;21299;274;1839387.00;14913;70.02;1.25;-0.10
04-Jan-16;84.40;88.70;84.00;86.35;85.813.880.332.918.200.000;45777;588;3928302.00;16591;36.24;4.70;1.95
01-Jan-16;85.10;86.75;84.05;86.25;85.827.389.892.075.000.000;28631;437;2457324.00;14060;49.11;2.70;1.15
